Issue ID,Description,Done,Element,Fix complexity,Hours Estimation,Screens,Screenshot,Section,Solution,Type
013,Different tablets Ipad Pro and Air in chrome simulation mode provide different results. Both had strong and weak sides - we need to merge them into one.,,Layout,Hard,2,Tablet,Near%20landing%20page/Screenshot_2026-05-26_at_14.32.14.png,Hero,"  1. Use a medium font size between variations on the screenshot.
  2. Use wide subheader - we don’t need 2 lines here, screen space should be on a 1st place
  3. Use bigger buttons - second screenshot varianf
  4. Built for: personal recommendation is remove the long vertical line
  5. Use wide video like on desktop. Do not use sticky here. (Enlargement animation on Air is so smooth - we can make similar experience for Pro)",Layout
014,Font size should be reduced to design values,Yes,H1,Easy,,Mobile,Near%20landing%20page/Screenshot_2026-05-26_at_14.41.59.png,Hero,Reduce H1 value for mobile,Layout
015,Check and fix spacing issues between the elements,Yes,Heading and subheading spacing,Easy,,Mobile,Near%20landing%20page/Screenshot_2026-05-26_at_14.45.10.png,Hero,Update spacing according to design,Layout
016,"Hide button, add animation on card hover (as Adrian asked). ",,Hide the button by default,Medium,0.75,"Desktop, Mobile, Tablet",Near%20landing%20page/Screenshot_2026-05-26_at_15.27.13.png,Enrollment,Not the best solution if we really want these buttons being clicked,Animation
017,In case if user use big screen and half of the browser we will have this corner-case: a huge empty space under content.,,Make max-height for Hero section,Hard,2,Desktop,Near%20landing%20page/Screenshot_2026-05-26_at_15.25.18.png,Hero,Make a rule for this ratio,Layout
018,Line height value is bigger than design version,Yes,H2,Medium,,"Desktop, Mobile, Tablet",Near%20landing%20page/Screenshot_2026-05-27_at_12.38.25.png,Enrollment,Just align all h2 styling proper and consistent,Layout
019,Space between H2 and subheading is bigger than needed,Yes,Text content block,Easy,,"Desktop, Mobile, Tablet",Near%20landing%20page/Screenshot_2026-05-27_at_12.40.08.png,Enrollment,Reduce the space,Layout
020,Wrong font weight and possible size,Yes,Subheading,Easy,,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_12.43.13.png,Enrollment,Use light instead of regular here for visual consistency,Layout
021,Wrong spacing between heading wrapper and cards,,Container layout,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_12.44.36.png,Enrollment,Align space better between text block and cards,Layout
022,Design file has imperfection - list elements are not into auto-layout.,,Card list,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_12.47.26.png,Enrollment,"Developed version looks good, no need updates here",Layout
023,Text has smaller line height than design version,,Text element under list,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_12.50.04.png,Enrollment,Increase the line height,Layout
024,Bottom padding is bigger than designed version,,Card bottom,Easy,0.15,"Desktop, Mobile",Near%20landing%20page/Screenshot_2026-05-27_at_12.50.55.png,Enrollment,Reduce the bottom padding for 1-2px,Layout
025,Space on the top of the button,,Learn more button,Easy,0.15,"Desktop, Mobile",Near%20landing%20page/Screenshot_2026-05-27_at_12.51.19.png,Enrollment,Fix #023 can fix this issue too,Layout
026,Color must be adjusted - now it’s EEE0DB,,Card,Easy,0.15,Desktop,,Enrollment,Use EFE1DC,Color
027,Wrong color now,,Learn more button,Easy,0.15,Desktop,,Enrollment,Use F7F0ED instead if white,Color
028,When the video fullscreen block became square it cuts important parts of animation,,Video block,Hard,3,Large,Near%20landing%20page/Screenshot_2026-05-27_at_13.41.41.png,Hero,Use proper aspect ratio or use Rive for responsive animation,Animation
029,Left padding on image must be decreased,,Card,Medium,0.5,Tablet,Near%20landing%20page/Screenshot_2026-05-27_at_13.46.35.png,Enrollment,Use mobile padding values or design special,Layout
030,Space under the image must be reduced,,Card,Medium,0.5,Tablet,Near%20landing%20page/Screenshot_2026-05-27_at_13.46.45.png,Enrollment,Use mobile card values,Layout
031,Horizontal padding is smaller than designed,,Layout,Easy,0.15,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_13.48.43.png,Enrollment,Increase the h-padding,Layout
032,Blue glow is visible by default,,Card,Easy,0.15,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_13.50.07.png,Enrollment,"Remove default visibility, switch to the tap",Layout
033,Inconsistent spacing around the line,,Card,Easy,0.15,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_13.51.02.png,Enrollment,Make spacing similar like designed,Layout
034,Gap between the cards is smaller than designed,,Cards layout,Easy,0.15,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_13.53.07.png,Enrollment,Increase the space,Layout
035,No shadow under the card,,Card,Medium,0.5,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_13.54.18.png,Enrollment,Add the shadow similar to design file,Layout
036,Space is a few pixels smaller than designed,,Section,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_13.57.27.png,Enrollment,"Add a 4-6 pixels to spacing ",Layout
037,No space on the right side,,Subheading,Medium,0.5,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_14.05.24.png,Healthcare Navigation,Add space consistent to design,Layout
038,Gap smaller than designed,Yes,Layout,Easy,,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_14.06.31.png,Healthcare Navigation,Increase gap for 2-4 px,Layout
039,Font looks smaller optically,,CTA text,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_14.09.00.png,Healthcare Navigation,Increase font,Layout
040,Gap is bigger,,CTA block,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_14.16.58.png,Healthcare Navigation,Decrease gap to match the design,Layout
041,Vertical padding is wrong,,CTA Buttons,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_14.17.17.png,Healthcare Navigation,Make buttons symmetrical by using flex center or reucing bottom padding,Layout
042,"Use mobile and Desktop values to update the Tablet layout, no critical issues, most will be fixed by updating desktop",,Tablet layout,Medium,1,Tablet,Near%20landing%20page/Screenshot_2026-05-27_at_14.46.48.png,Healthcare Navigation,"Use mobile and Desktop values to update the Tablet layout, no critical issues, most will be fixed by updating desktop",Layout
043,Missed vertical gap,,Heading wrapper,Easy,0.15,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_14.52.40.png,Healthcare Navigation,Add 32px gap,Layout
044,Line height is bigger,Yes,H2,Easy,,"Desktop, Mobile, Tablet",Near%20landing%20page/Screenshot_2026-05-27_at_15.32.50.png,How it works,Decrease line height,Layout
045,Gap between H2 and subheading is bigger than designed,Yes,Heading wrapper,Easy,,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_15.33.08.png,How it works,Reduce space under H2,Layout
046,Line height is bigger,Listed,Subheading,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_15.33.16.png,How it works,Decrease line height,Layout
047,Gap space is bigger than designed,Listed,Container,Easy,0.15,"Desktop, Mobile, Tablet",Near%20landing%20page/Screenshot_2026-05-27_at_15.33.25.png,How it works,Decrease the space,Layout
048,Ipad Pro layout is totally wrong,,Layout,Hard,1,Tablet,Near%20landing%20page/Screenshot_2026-05-27_at_15.34.06.png,How it works,Rebuild and add an Ipad Pro media querty,Layout
049,Ipad Air layout has some issues that will be fixed during other updates,,Layout,Hard,1,Tablet,Near%20landing%20page/Screenshot_2026-05-27_at_15.35.52.png,How it works,Update the layout,Layout
050,Vertical line after logo is too short,,Animation block,Medium,0.15,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_15.41.12.png,How it works,Increase the line,Layout
051,Larger line height,Yes,H2,Easy,,"Desktop, Mobile, Tablet",Near%20landing%20page/Screenshot_2026-05-27_at_17.45.44.png,Post-Enrollment,Decrease line height,Layout
052,Too much space under heading,,Main block,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_17.46.41.png,Post-Enrollment,Decrease spacing to design value,Layout
053,Found different design in Figma,,Right part with circle,Hard,2,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_17.48.17.png,Post-Enrollment,Needs to be rebuilt and animated,Layout
054,Two lined text instead of one-line,,List,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_17.48.25.png,Post-Enrollment,Increase the li width,Layout
055,Section looks inconsistent and missing parts,,Main section,Hard,2,Tablet,Near%20landing%20page/Screenshot_2026-05-27_at_17.49.21.png,Post-Enrollment,Rebuild whole section for Tablet layout,Layout
056,Not enough space around the line,,List,Easy,0.15,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_17.52.58.png,Post-Enrollment,Increase space under and on top of the line,Layout
057,Bottom padding,,Main section,Easy,0.15,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_17.53.54.png,Post-Enrollment,Increase bottom padding,Layout
058,Large line height,Listed,H2,Easy,0.15,"Desktop, Mobile, Tablet",Near%20landing%20page/Screenshot_2026-05-27_at_18.02.59.png,Connected,Decrease line height,Layout
059,Large line height,Listed,Subheading,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_18.03.05.png,Connected,Decrease line height,Layout
060,Too much space between H2 and sub,Listed,Container,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_18.03.25.png,Connected,Reduce space under H2,Layout
061,Rebuild the section with proper spacings,,Section,Hard,2,Tablet,Near%20landing%20page/Screenshot_2026-05-27_at_18.05.13.png,Connected,Rebuild the section with proper spacings,Layout
062,Similar issue with spacing and line height,Listed,Heading wrapper,Easy,0.15,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_18.09.42.png,Connected,Decrease line height and spacing,Layout
064,Too much space under H2,,H2,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_18.12.14.png,Operations,Decrease the space,Layout
065,Top padding is larger,,Card,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_18.15.05.png,Operations,Decrease top padding,Layout
066,Card spacing,,Card,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_18.15.15.png,Operations,Improve spacing,Layout
067,Improve arragement,,Layout,Medium,0.5,Tablet,Near%20landing%20page/Screenshot_2026-05-27_at_18.16.20.png,Operations,Improve arragement,Layout
068,H2 line and spacing,,Heading and wrapper,Easy,0.15,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_18.18.45.png,Operations,Reduce both,Layout
069,Card body text,,Card,Easy,0.15,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_18.21.14.png,Operations,Decrease line height,Layout
070,"Two lined text instead of one line, update spacing under H2",Yes,H2,Easy,,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_18.25.47.png,Real-world,Increase wapper width,Layout
071,Text line and tracking are different,,Preface text,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_18.27.11.png,Real-world,Decrease Line height and tracking values,Layout
072,Replace image,,Card,Easy,0.15,"Desktop, Mobile, Tablet",,Real-world,Replace image,Layout
073,Broken layout,,Section,Hard,1.5,Tablet,Near%20landing%20page/Screenshot_2026-05-27_at_18.28.48.png,Real-world,Rebuild tablet layout,Layout
074,Broken layout,,Section,Hard,1.5,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_18.29.39.png,Real-world,Rebuild mobile layout,Layout
075,Centering text is broken,,Pill element,Medium,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_18.36.50.png,Care,Use flex center and max width and height,Layout
076,Spacing issues,,Cta element,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_18.37.57.png,Care,Decrease spacings,Layout
077,Broken layout,,Section,Medium,0.25,Tablet,Near%20landing%20page/Screenshot_2026-05-27_at_18.38.26.png,Care,"Make pill wider, fix spacing issues",Layout
078,"Pill size wrong, too large h-padding",,Section,Medium,0.25,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_18.41.08.png,Care,"Make pill height larger, decrease padding horizontal",Layout
079,Text and spacings issues,,"Cta ",Easy,0.15,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_18.42.20.png,Care,Align text and spacing,Layout
080,Small space under logo,,Logo,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_18.44.42.png,Footer,Increase pace under logo,Layout
081,Icons and links centered wrong,,Social icons,Medium,0.5,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_18.46.24.png,Footer,Align icons and links centered,Layout
082,Large bottom padding,,Bottom,Easy,0.15,Desktop,Near%20landing%20page/Screenshot_2026-05-27_at_18.47.18.png,Footer,Decrease bottom padding,Layout
083,Wrong elements alignment,,Bottom,Medium,0.75,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_18.48.47.png,Footer,Align elements proper,Layout
084,Top padding,,Footer,Easy,0.15,Mobile,Near%20landing%20page/Screenshot_2026-05-27_at_18.49.58.png,Footer,Increase top padding,Layout
085,"H2 animations resolved different for different sections (some with wrapper, some without)",Yes,H2,Medium,,"Desktop, Large, Mobile, Tablet",,All sections,I need to make consistent solution for all H2,Layout
086,"In case if we scroll from bottom to the top, H2 line height breaks",Yes,H2,Medium,,"Desktop, Large, Mobile, Tablet",,All sections,Make possible scrolling both directions without breaks line height,Layout
